证券代码,证券简称,估价全价 2017-10-10,估价修正久期 2017-10-10,估价全价 2017-12-29,估价修正久期 2017-12-29,估价全价 2018-03-30,估价修正久期 2018-03-30,估价全价 2018-06-29,估价修正久期 2018-09-14,估价全价 2018-09-14,估价修正久期 2018-06-29
010107.SH,21国债(7),102.6254,3.3989,102.7811,3.1803,102.3037,3.0125,103.9766,2.6311,102.5111,2.7797
010303.SH,03国债(3),99.5836,4.8032,97.995,4.6663,99.5011,4.4331,99.8732,4.0753,100.3241,4.2824
010504.SH,05国债(4),103.1508,6.2596,100.9992,6.159,102.7073,5.9296,103.1204,5.6127,103.0521,5.8283
010512.SH,05国债(12),101.2163,2.8078,99.7156,2.6411,101.3244,2.4077,100.849,2.0114,101.7816,2.2133
010609.SH,06国债(9),101.0986,7.18,98.3335,7.0695,100.3057,6.8461,100.6607,6.5312,100.558,6.748
010619.SH,06国债(19),99.2272,3.6724,97.6645,3.5128,99.2865,3.2801,99.4012,2.8953,99.9316,3.1012
010706.SH,07国债06,102.9187,12.7735,99.6514,12.7434,103.0252,12.5999,105.1384,12.4879,104.5763,12.7455
010713.SH,07国债13,107.1704,7.7835,105.9231,7.5328,105.9235,7.4749,108.496,7.1926,106.0431,7.2624
019002.SH,10国债02,100.3834,2.1582,100.7116,1.9422,100.5326,1.7397,101.6291,1.3243,100.9831,1.5009
019003.SH,10国债03,98.3064,14.1545,96.7008,13.8144,98.313,13.9953,102.8563,13.9089,99.7434,13.9252
019007.SH,10国债07,99.8095,2.2905,100.1234,2.0742,99.9813,1.8711,101.0981,1.4318,102.1358,1.6327
019009.SH,10国债09,103.3031,9.4613,100.8176,9.4023,103.5325,9.2031,103.9943,8.9525,103.9936,9.1735
019012.SH,10国债12,100.3926,2.3818,99.1061,2.2034,100.6685,1.9694,100.2186,1.5609,101.248,1.7619
019014.SH,10国债14,,,94.0263,19.4571,98.8631,19.6414,101.1218,19.4307,97.211,20.1464
019018.SH,10国债18,97.984,14.1764,94.3487,14.1246,98.0034,14.0218,100.5161,13.9393,99.3852,14.2366
019019.SH,10国债19,100.655,2.4899,99.2722,2.3129,100.8214,2.0788,100.306,1.6712,101.294,1.8725
019023.SH,10国债23,97.6018,14.3865,95.9295,14.0401,99.1863,14.307,103.805,14.2167,100.5791,14.2428
019024.SH,10国债24,99.9216,2.6057,100.2304,2.3893,100.1372,2.1932,101.3488,1.7844,100.6659,1.9556
019026.SH,10国债26,97.3868,14.4329,95.7078,14.0863,97.412,14.2756,101.9621,14.1878,98.7821,14.2114
019029.SH,10国债29,99.8021,9.8712,99.36,9.628,100.2173,9.6139,102.6318,9.3603,100.7021,9.408
019031.SH,10国债31,99.6238,2.7169,99.914,2.5002,99.8164,2.3042,101.0523,1.8652,101.979,2.0671
019034.SH,10国债34,101.7443,2.7625,100.2188,2.5958,101.8096,2.3622,101.2861,1.9656,102.2154,2.1675
019037.SH,10国债37,,,101.2493,19.197,106.4017,19.3798,108.7508,19.1709,104.6112,19.8855
019040.SH,10国债40,102.101,14.2393,98.2546,14.1859,102.0772,14.0896,104.6402,14.0095,103.3635,14.3147
019041.SH,10国债41,101.7907,2.89,100.1844,2.724,101.7639,2.4903,101.2307,2.0944,102.1069,2.2969
019102.SH,11国债02,101.7697,2.9728,102.0476,2.7558,101.6818,2.5752,103.0936,2.1814,101.9856,2.3396
019105.SH,11国债05,102.5336,14.3904,100.7669,14.0381,102.4997,14.2422,107.2243,14.1599,103.7377,14.1828
019108.SH,11国债08,101.0588,3.1282,101.2773,2.9106,100.958,2.7286,102.4143,2.2903,103.2054,2.4937
019110.SH,11国债10,103.7551,9.951,101.2939,9.9081,104.2268,9.7181,104.6791,9.4858,104.6465,9.7099
019112.SH,11国债12,,,102.7061,19.2312,107.9409,19.4194,110.3272,19.2095,106.1168,19.931
019115.SH,11国债15,102.6624,3.3004,100.821,3.1436,102.4234,2.9102,102.0057,2.5251,102.6871,2.7296
019116.SH,11国债16,105.6344,14.2476,101.5998,14.1963,105.5806,14.1065,108.1283,14.0302,106.7305,14.3434
019119.SH,11国债19,101.5105,3.4673,101.6259,3.2483,101.2846,3.0763,102.9475,2.6908,101.6004,2.8434
019121.SH,11国债21,103.9547,0.9392,100.8004,0.7673,101.981,0.531,102.7985,0.0793,103.5006,0.288
019123.SH,11国债23,,,99.9626,19.3817,105.0907,19.5808,107.4531,19.3694,103.3107,20.1041
019124.SH,11国债24,101.0705,3.6634,99.3251,3.5074,101.2136,3.2775,101.1487,2.8954,101.6372,3.1018
019204.SH,12国债04,100.1297,3.9297,100.105,3.7091,99.9431,3.5392,101.7351,3.1562,100.4003,3.3082
019205.SH,12国债05,101.8758,1.3259,102.3859,1.1116,100.3011,0.9114,101.235,0.4735,102.1332,0.6758
019206.SH,12国债06,101.0944,10.4942,98.7424,10.4599,101.7244,10.2767,102.3908,10.0607,102.3479,10.2873
019208.SH,12国债08,,,98.2964,19.5393,103.3732,19.7478,105.7349,19.5343,101.6168,20.2804
019209.SH,12国债09,100.2908,4.1112,98.5787,3.9581,100.148,3.7251,100.3019,3.348,100.6994,3.5554
019210.SH,12国债10,100.4899,1.5692,100.9157,1.3542,102.3306,1.1186,100.1417,0.7141,101.0759,0.9123
019212.SH,12国债12,99.0875,14.9275,95.2577,14.8665,99.1795,14.7929,101.7392,14.7087,100.0998,15.0433
019213.SH,12国债13,99.5986,14.9895,97.7878,14.6201,99.6888,14.8558,104.3094,14.77,100.5794,14.8119
019215.SH,12国债15,99.4974,4.3486,99.493,4.1279,99.3411,3.9632,101.222,3.587,99.9409,3.7336
019216.SH,12国债16,99.8314,1.809,100.1888,1.5933,101.6694,1.3585,102.6632,0.9518,100.4785,1.1187
019218.SH,12国债18,100.6557,10.8889,100.2881,10.6406,101.2629,10.6715,104.0785,10.2541,104.0058,10.4823
019220.SH,12国债20,,,100.2823,19.5226,105.4587,19.7358,107.8582,19.5218,103.6598,20.274
019221.SH,12国债21,100.8551,4.5521,99.1337,4.4099,100.6367,4.1764,100.8193,3.8113,101.2596,4.0184
019303.SH,13国债03,102.1645,2.1145,102.4988,1.8983,100.6119,1.7271,101.6979,1.2878,102.779,1.4883
019305.SH,13国债05,99.8691,4.7381,99.9476,4.518,99.6754,4.3622,101.6866,3.9973,100.3675,4.1346
019308.SH,13国债08,100.759,2.3378,101.0958,2.1217,102.6718,1.8879,100.5381,1.5099,101.5782,1.7107
019309.SH,13国债09,100.7497,11.0388,98.3618,11.0095,101.371,10.8321,102.3353,10.6342,102.2292,10.8643
019310.SH,13国债10,,,98.0405,19.6961,103.1384,19.9195,105.5276,19.7032,101.374,20.4678
019311.SH,13国债11,99.9677,4.912,98.3451,4.7737,99.8224,4.5402,100.2156,4.181,100.6093,4.3887
019315.SH,13国债15,100.6597,2.5581,100.9652,2.3417,102.5294,2.1078,103.7385,1.7322,101.249,1.8702
019316.SH,13国债16,102.6741,11.1482,102.2625,10.8947,103.189,10.9479,106.3269,10.7594,104.0562,10.7713
019318.SH,13国债18,102.8577,5.0706,102.874,4.8489,102.4052,4.7107,104.6344,4.363,102.9289,4.4859
019319.SH,13国债19,110.2018,15.043,108.2684,14.6677,110.2897,14.9257,115.2167,14.5273,113.1754,14.8866
019320.SH,13国债20,105.4947,2.6949,101.7107,2.5857,103.2956,2.3519,104.5954,1.9131,105.5323,2.1152
019323.SH,13国债23,104.5128,0.9999,100.9246,0.8311,102.1431,0.5966,102.9948,0.1475,103.8173,0.355
019324.SH,13国债24,,,119.3138,19.0245,125.345,19.2293,128.0191,19.0183,123.1877,19.7618
019325.SH,13国债25,114.9092,14.6901,110.4801,14.6401,114.9826,14.5824,117.4679,14.4989,115.4018,14.8581
019401.SH,14国债01,104.5575,1.1584,105.1161,0.9444,101.9018,0.7562,102.7961,0.3128,103.7204,0.5176
019403.SH,14国债03,106.0268,2.9195,106.2921,2.702,103.4514,2.5839,104.8481,2.1453,105.7108,2.348
019405.SH,14国债05,104.6263,5.4798,104.437,5.2546,103.9978,5.1322,106.4806,4.6989,106.5764,4.9113
019406.SH,14国债06,104.6958,3.1267,104.9043,2.9086,106.5401,2.6755,103.7008,2.3501,104.4749,2.5537
019408.SH,14国债08,102.646,1.4449,103.1199,1.2302,104.5153,0.9942,101.4248,0.5981,102.3245,0.7985
019409.SH,14国债09,109.8695,11.1492,106.9515,11.1346,110.1916,10.964,111.3104,10.8009,111.1328,11.0367
019410.SH,14国债10,,,106.5139,19.5181,112.0125,19.7445,114.5441,19.5282,110.0816,20.2975
019412.SH,14国债12,103.1918,5.6652,100.9701,5.5473,102.7328,5.3179,103.253,4.9843,103.2377,5.1978
019413.SH,14国债13,103.0838,3.3862,103.1765,3.1672,104.7717,2.9338,106.3588,2.6009,102.9593,2.7002
019416.SH,14国债16,109.3872,15.1266,107.5672,14.7473,109.6039,15.0269,114.3996,14.9324,109.8189,14.9922
019417.SH,14国债17,107.0729,11.4985,106.4953,11.2361,107.4013,11.3103,110.9759,11.1462,108.4428,11.1497
019421.SH,14国债21,103.1535,5.8871,102.9393,5.661,102.6421,5.5419,105.1998,5.1081,105.1193,5.3231
019424.SH,14国债24,103.9983,3.5619,100.3259,3.4722,101.9268,3.2392,103.6421,2.801,104.1653,3.0072
019425.SH,14国债25,103.8373,15.4305,99.9081,15.3725,104.1698,15.3332,106.5753,15.2293,104.2979,15.6173
019426.SH,14国债26,103.3594,1.8846,100.1683,1.7334,101.6783,1.4988,102.7092,1.059,103.8096,1.2594
019427.SH,14国债27,,,97.9625,19.9062,103.1024,20.1514,105.5345,19.9309,101.3214,20.7226
019429.SH,14国债29,101.7446,6.0696,99.6987,5.9548,101.3892,5.7251,102.0201,5.3937,101.8934,5.6091
019502.SH,15国债02,101.5646,3.8289,101.5476,3.608,99.7673,3.4959,101.5327,3.0576,101.9619,3.2647
019503.SH,15国债03,101.7865,2.1496,102.1111,1.9333,100.331,1.7602,101.4166,1.3209,102.4841,1.5215
019505.SH,15国债05,99.465,6.3842,99.3334,6.159,100.9794,5.9292,101.5916,5.602,101.468,5.8179
019507.SH,15国债07,101.1365,4.0323,101.1172,3.8113,102.7381,3.579,101.0388,3.2673,101.452,3.4746
019508.SH,15国债08,101.2539,11.9567,98.5223,11.9323,101.6416,11.7688,103.2429,11.6153,102.9446,11.8568
019510.SH,15国债10,,,92.9285,20.1892,97.8618,20.4493,100.2389,20.2254,96.1665,21.0351
019511.SH,15国债11,99.9191,2.4493,100.24,2.2331,101.802,1.9993,99.8783,1.618,100.8804,1.8191
019514.SH,15国债14,99.5356,4.2765,99.5019,4.0555,101.0658,3.8227,102.9366,3.504,100.0259,3.5933
019516.SH,15国债16,99.705,6.5595,99.5075,6.3328,99.3807,6.2152,100.6222,5.8692,98.7833,5.9795
019517.SH,15国债17,96.5909,16.1066,94.9518,15.7217,97.1108,16.0204,101.3706,15.8952,96.9645,15.9911
019519.SH,15国债19,99.1147,2.7215,99.4083,2.505,100.9639,2.2712,102.212,1.8906,100.0151,2.0342
019521.SH,15国债21,95.4519,12.5664,94.6857,12.2932,94.4011,12.3154,98.0349,11.9292,97.7124,12.1732
019522.SH,15国债22,99.6548,0.9257,100.1684,0.7172,101.3719,0.4803,102.221,0.0274,102.8699,0.2367
019523.SH,15国债23,96.4264,6.7959,94.5956,6.6741,96.2354,6.4453,96.9341,6.109,96.8265,6.3247
019525.SH,15国债25,93.4665,16.1282,90.0417,16.0706,94.0562,16.0493,96.2627,15.9196,93.833,16.3399
019526.SH,15国债26,100.357,4.4347,97.3175,4.3524,98.8125,4.119,100.7182,3.6828,101.1422,3.8902
019528.SH,15国债28,,,90.9136,20.3377,95.7699,20.6085,98.1297,20.3824,94.1056,21.2051
019530.SH,16国债02,98.732,3.0043,98.9758,2.7871,97.9719,2.6253,99.3148,2.1867,100.1367,2.3895
019531.SH,16国债03,100.6042,1.2306,101.1299,1.0165,99.8355,0.8108,100.7338,0.3693,101.6402,0.5732
019532.SH,16国债04,94.999,7.1164,94.4111,6.8835,94.7026,6.7598,96.8128,6.4184,95.2662,6.5381
019534.SH,16国债06,97.1629,4.8538,97.2319,4.6335,95.9208,4.5275,97.9052,4.0926,98.31,4.2999
019535.SH,16国债07,97.9286,3.2383,98.1111,3.0205,99.6645,2.7872,98.5389,2.4218,99.2622,2.6256
019536.SH,16国债08,90.7348,16.5965,87.48,16.5378,88.4224,16.2989,90.4551,16.1572,88.0329,16.594
019537.SH,16国债09,99.7537,1.4688,100.2065,1.2541,101.5674,1.018,99.9476,0.6088,100.8336,0.809
019538.SH,16国债10,95.1479,7.2394,92.9034,7.1134,94.7418,6.8884,95.3907,6.5556,95.2883,6.7717
019541.SH,16国债13,,,87.0485,20.5842,91.7454,20.8691,94.0613,20.6399,90.146,21.4797
019542.SH,16国债14,97.3037,5.07,97.3493,4.8495,98.8159,4.6163,97.9612,4.3165,98.3143,4.5245
019543.SH,16国债15,97.3051,3.4751,97.4092,3.2565,98.964,3.0233,100.54,2.6597,98.4978,2.7902
019544.SH,16国债16,98.6297,1.7104,99.0094,1.495,100.4477,1.2598,101.41,0.8477,99.9857,1.0199
019545.SH,16国债17,93.2223,7.526,92.2299,7.2852,92.7571,7.1692,94.8442,6.8316,93.3389,6.9482
019547.SH,16国债19,85.3226,17.1848,83.9204,16.8013,83.2139,16.8915,86.8146,16.7316,82.7016,16.8615
019548.SH,16国债20,95.5861,5.298,95.5648,5.0768,97.0458,4.844,99.2036,4.5369,96.7318,4.6195
019549.SH,16国债21,97.9399,3.6581,95.5629,3.5294,97.0921,3.2961,98.7447,2.8578,99.2303,3.0641
019550.SH,16国债22,99.7604,1.9083,97.802,1.7362,99.2833,1.5016,100.2947,1.0619,101.3762,1.2623
019551.SH,16国债23,94.5675,7.6855,92.0286,7.5518,93.9697,7.3295,92.912,6.9678,92.7677,7.1852
019553.SH,16国债25,97.7053,5.3414,94.8267,5.2728,96.3661,5.0408,98.607,4.6071,98.8057,4.8174
019554.SH,16国债26,,,82.5718,20.8728,87.0794,21.1738,89.3394,20.9409,85.5562,21.8
019555.SH,17国债01,99.2858,3.8384,99.2755,3.6177,97.9532,3.4916,99.6964,3.0534,100.1265,3.2604
019556.SH,17国债02,100.3663,2.1181,100.6903,1.9019,99.4308,1.7197,100.4994,1.2804,101.5689,1.4809
019558.SH,17国债04,99.0549,7.7399,97.7814,7.4921,98.1477,7.401,100.4099,7.0855,98.494,7.1833
019559.SH,17国债05,92.1201,16.6887,90.7768,16.3088,92.9676,16.6398,96.8257,16.4764,92.1897,16.6077
019560.SH,17国债06,98.9517,5.5899,98.7598,5.3649,97.2424,5.3058,99.6317,4.8721,99.6914,5.0842
019561.SH,17国债07,99.4958,4.0585,99.4599,3.8375,101.0454,3.6049,99.7246,3.2809,100.1171,3.4883
019562.SH,17国债08,100.6864,2.365,101.0047,2.1487,102.5626,1.9148,100.4777,1.5354,101.4958,1.7365
019564.SH,17国债10,100.4879,7.7863,97.4421,7.6749,99.5486,7.4556,100.1304,7.151,99.9069,7.371
019565.SH,17国债11,,,94.686,20.3375,99.7453,20.6234,102.1921,20.3947,97.9964,21.237
019566.SH,17国债12,101.3027,1.5858,101.7303,1.3708,103.1684,1.1353,100.515,0.735,101.4687,0.9327
019567.SH,17国债13,100.3096,5.7946,100.0729,5.5688,101.8206,5.3399,100.7576,5.0902,100.7144,5.3036
019568.SH,17国债14,100.1569,4.2727,100.1319,4.0518,101.71,3.819,103.5971,3.5055,100.5276,3.5898
019569.SH,17国债15,98.0252,16.5716,96.6829,16.1941,98.9376,16.532,102.9182,16.3621,97.9356,16.4987
019570.SH,17国债16,100.4101,2.5995,100.7199,2.3831,102.2913,2.1493,103.5196,1.7739,101.03,1.9119
019572.SH,17国债18,100.2325,8.0078,98.7313,7.7535,99.0648,7.6754,101.4869,7.3733,99.4617,7.4614
019573.SH,17国债19,100.2302,1.828,100.585,1.6123,102.0759,1.3774,103.0785,0.9724,100.6558,1.1378
019574.SH,17特国03,100.2443,4.4457,100.2343,4.2251,101.4016,3.9876,103.3335,3.5514,103.7766,3.7588
019575.SH,17国债20,100.0997,6.0172,99.8787,5.7918,101.6148,5.5626,104.1587,5.129,104.069,5.3444
019576.SH,17国债21,,,100.3147,4.2909,101.861,4.0577,103.8111,3.6218,104.2616,3.8291
019577.SH,17国债22,,,99.5125,16.2371,103.9287,16.2378,105.8507,16.0679,102.802,16.5379
019578.SH,17国债23,,,100.301,2.621,101.8665,2.3872,103.16,1.9484,104.0783,2.1505
019579.SH,17国债24,,,100.4011,0.8182,101.612,0.5834,102.4585,0.1339,103.2603,0.3416
019580.SH,17国债25,,,100.2124,7.9371,102.3843,7.7196,102.9834,7.43,102.752,7.6511
019581.SH,17国债26,,,100.5943,20.1548,105.9299,20.4382,108.4753,20.2105,104.0684,21.0504
019582.SH,17国债27,,,100.2676,6.003,101.9688,5.7732,104.5115,5.339,104.3938,5.5548
019583.SH,18国债01,,,,,101.8135,4.2981,103.8069,3.8625,104.2414,4.0699
019584.SH,18国债02,,,,,101.0321,2.6306,102.3989,2.1917,103.2171,2.3947
019585.SH,18国债03,,,,,100.6559,0.8215,101.5508,0.3801,102.451,0.584
019586.SH,18国债04,,,,,101.9746,7.957,104.2751,7.6642,102.1456,7.7415
019587.SH,18国债05,,,,,100.689,5.9989,103.165,5.5637,103.0149,5.7797
019588.SH,18国债06,,,,,101.7023,16.7118,105.6628,16.1895,102.4864,16.6745
019589.SH,18国债07,,,,,,,100.984,2.3955,101.7276,2.5992
019590.SH,18国债08,,,,,,,100.239,1.5159,101.2578,1.7169
019591.SH,18国债09,,,,,,,100.2505,4.1543,100.6189,4.3622
019592.SH,18国债10,,,,,,,100.2141,0.6588,101.1231,0.8581
019593.SH,18国债11,,,,,,,102.2045,7.8504,102.0378,8.0708
019594.SH,18国债12,,,,,,,103.3288,20.4751,99.065,21.3331
019595.SH,18国债13,,,,,,,101.088,5.8246,100.9389,6.0404
019596.SH,18国债14,,,,,,,,2.6217,100.3499,
019597.SH,18国债15,,,,,,,,1.7376,100.6236,
019598.SH,18国债16,,,,,,,,4.3598,99.8374,
019599.SH,18国债17,,,,,,,,16.6925,96.1707,
019600.SH,18国债18,,,,,,,,0.8973,100.2018,
019601.SH,18国债19,,,,,,,,8.1407,100.2852,
019602.SH,18国债20,,,,,,,,6.0647,99.8454,
019802.SH,08国债02,102.963,4.6929,103.0511,4.4725,102.5042,4.3272,104.5623,3.972,102.943,4.0998
019806.SH,08国债06,106.6191,13.0356,103.0033,13.0017,106.59,12.8701,108.8721,12.7748,108.1353,13.0429
019813.SH,08国债13,111.9701,8.294,111.0109,8.0454,110.9736,8.0109,113.7217,7.7525,111.1732,7.8031
019818.SH,08国债18,100.4121,0.9076,100.9368,0.6935,100.3115,0.4749,101.1601,0.0219,101.8008,0.2313
019820.SH,08国债20,98.6577,13.6015,95.2726,13.5552,98.7273,13.4306,101.1637,13.3326,100.3316,13.6072
019823.SH,08国债23,100.8212,5.2806,98.9397,5.1516,100.5607,4.9201,101.0613,4.5733,101.2819,4.7834
019825.SH,08国债25,100.0988,1.1161,99.2216,0.9163,100.4801,0.6792,99.9303,0.2505,100.8489,0.456
019902.SH,09国债02,102.4397,8.9528,101.6642,8.7075,102.1259,8.661,104.6446,8.3885,102.684,8.4522
019903.SH,09国债03,99.6071,1.3467,100.11,1.1324,99.904,0.9102,100.8442,0.4841,100.2158,0.6701
019905.SH,09国债05,97.9675,13.9469,96.4624,13.621,100.0062,13.5029,102.47,13.4126,101.5582,13.6935
019907.SH,09国债07,100.4697,1.4731,99.4277,1.2799,100.8133,1.0439,100.2594,0.6161,101.1751,0.8182
019911.SH,09国债11,100.847,5.6842,98.7976,5.5612,100.545,5.3319,101.1947,4.9934,101.1968,5.2066
019912.SH,09国债12,100.2316,1.5835,99.12,1.3903,100.5381,1.1548,99.9528,0.7277,100.9146,0.9294
019916.SH,09国债16,100.5926,1.6705,101.0097,1.4554,100.732,1.2445,101.7166,0.8199,101.0001,1.0046
019920.SH,09国债20,102.9181,9.2169,102.2912,8.9729,102.8481,8.9406,105.3394,8.6781,103.355,8.7325
019923.SH,09国债23,100.0486,1.8196,100.4158,1.6039,100.1898,1.3931,101.1902,0.953,102.2664,1.1536
019925.SH,09国债25,101.9244,13.7509,98.2474,13.7034,101.9075,13.5923,104.395,13.5087,103.3838,13.7966
019927.SH,09国债27,101.9096,1.9126,100.4134,1.7305,101.9306,1.4958,101.1225,1.0817,102.2139,1.2821
019930.SH,09国债30,,,99.197,19.1565,104.2347,19.3283,106.5358,19.1197,102.4949,19.8199
020234.SH,18贴债17,,,,,,,99.1207,0.0848,99.8339,0.2933
020239.SH,18贴债22,,,,,,,98.8115,0.1611,99.6457,0.3681
020244.SH,18贴债27,,,,,,,98.6237,0.2371,99.4867,0.4431
020246.SH,18贴债29,,,,,,,99.301,0.0274,99.9492,0.2367
020247.SH,18贴债30,,,,,,,,0.0465,99.8971,
020248.SH,18贴债31,,,,,,,,0.0657,99.8766,
020249.SH,18贴债32,,,,,,,,0.0848,99.8416,
020250.SH,18贴债33,,,,,,,,0.3316,99.2281,
020251.SH,18贴债34,,,,,,,,0.1039,99.8001,
020252.SH,18贴债35,,,,,,,,0.123,99.7577,
020253.SH,18贴债36,,,,,,,,0.142,99.6987,
020254.SH,18贴债37,,,,,,,,0.1611,99.6822,
020255.SH,18贴债38,,,,,,,,0.4069,99.027,
020256.SH,18贴债39,,,,,,,,0.1802,99.6451,
020257.SH,18贴债40,,,,,,,,0.1992,99.5914,
020258.SH,18贴债41,,,,,,,,0.2182,99.5453,
